Hitter,Hitter ID,Swing,Pitcher,Pitcher ID,Pitch,Old Result,Diff,Inning,Outs,OBC,Home Score,Away Score,Batter WPA,Pitcher WPA,RBI,Run,Inning ID,Game ID,Session,Batter Team,Pitcher Team,Exact Result,Result at Neutral,Result All Neutral,Pitcher Responsible for Runner on 3rd Who Scored,Pitcher Responsible for Runner on 2nd Who Scored,Pitcher Responsible for Runner on 1st Who Scored,Pitcher Responsible for Batter Who Scored,PA Type
Buster Worthington,2787,419.0,Richard Northstar,275,720.0,K,301.0,T1,0,0,0,0,-2.51%,2.51%,0,0,1,1,1,SEA,SDP,K,K,K,,,,,1
Goose Gordon,2675,54.0,Richard Northstar,275,95.0,3B,41.0,T1,1,0,0,0,7.86%,-7.86%,0,1,1,1,1,SEA,SDP,3B,3B,2B,,,,,1
Tubby Wubby,2853,808.0,Richard Northstar,275,955.0,BB,147.0,T1,1,3,0,0,2.01%,-2.01%,0,1,1,1,1,SEA,SDP,BB,FO,BB,,,,,2
Tubby Wubby,2853,101.0,Richard Northstar,275,344.0,SB,243.0,T1,1,5,0,0,2.11%,-2.11%,0,0,1,1,1,SEA,SDP,STEAL 2B,STEAL 2B,SB,,,,,5
Bobert Hideyoshi,2944,1.0,Richard Northstar,275,550.0,RGO,451.0,T1,1,6,0,0,-8.58%,8.58%,0,0,1,1,1,SEA,SDP,RGO,RGO,LGO,,,,,2
Bryce Parker,2692,95.0,Richard Northstar,275,975.0,1B,120.0,T1,2,6,0,0,19.05%,-19.05%,2,0,1,1,1,SEA,SDP,1B,FO,1B,275.0,275.0,,,1
Daniel Dove,66,999.0,Richard Northstar,275,515.0,LGO,484.0,T1,2,1,0,2,-2.66%,2.66%,0,0,1,1,1,SEA,SDP,LGO,LGO,LGO,,,,,1
Cam'ron Simmons,525,12.0,Gavrilo Principle,2994,1000.0,HR,12.0,B1,0,0,0,2,11.35%,-11.35%,1,1,2,1,1,SDP,SEA,HR,HR,HR,,,,2994.0,1
Amelia,402,509.0,Gavrilo Principle,2994,711.0,FO,202.0,B1,0,0,1,2,-2.79%,2.79%,0,0,2,1,1,SDP,SEA,FO,FO,FO,,,,,1
Girth Brooks,161,250.0,Gavrilo Principle,2994,670.0,RGO,420.0,B1,1,0,1,2,-2.36%,2.36%,0,0,2,1,1,SDP,SEA,RGO,RGO,RGO,,,,,1
Raja Ayun,2248,69.0,Gavrilo Principle,2994,808.0,K,261.0,B1,2,0,1,2,-1.88%,1.88%,0,0,2,1,1,SDP,SEA,K,K,FO,,,,,1
Twatt Barton,2949,433.0,Richard Northstar,275,619.0,FO,186.0,T2,0,0,1,2,-2.27%,2.27%,0,0,3,1,1,SEA,SDP,FO,FO,FO,,,,,1
Speed Shark,3039,747.0,Richard Northstar,275,278.0,LGO,469.0,T2,1,0,1,2,-2.02%,2.02%,0,0,3,1,1,SEA,SDP,LGO,LGO,LGO,,,,,1
Dark Brother,3060,225.0,Richard Northstar,275,229.0,HR,4.0,T2,2,0,1,2,12.05%,-12.05%,1,1,3,1,1,SEA,SDP,HR,HR,HR,,,,275.0,1
Buster Worthington,2787,499.0,Richard Northstar,275,783.0,FO,284.0,T2,2,0,1,3,-1.37%,1.37%,0,0,3,1,1,SEA,SDP,FO,FO,FO,,,,,1
faron hylia,3205,556.0,Gavrilo Principle,2994,212.0,K,344.0,B2,0,0,1,3,-2.94%,2.94%,0,0,4,1,1,SDP,SEA,K,K,K,,,,,1
Hoshimi Miyabi,1705,1.0,Gavrilo Principle,2994,911.0,1B,90.0,B2,1,0,1,3,2.98%,-2.98%,0,0,4,1,1,SDP,SEA,1B,1B,1B,,,,,1
Hoshimi Miyabi,1705,420.0,Gavrilo Principle,2994,404.0,SB,16.0,B2,1,1,1,3,2.77%,-2.77%,0,0,4,1,1,SDP,SEA,STEAL 2B,STEAL 2B,SB,,,,,4
Nota Nam III,2467,198.0,Gavrilo Principle,2994,505.0,K,307.0,B2,1,2,1,3,-4.58%,4.58%,0,0,4,1,1,SDP,SEA,K,K,K,,,,,1
Salami,3163,666.0,Gavrilo Principle,2994,67.0,K,401.0,B2,2,2,1,3,-5.62%,5.62%,0,0,4,1,1,SDP,SEA,K,K,RGO,,,,,1
Goose Gordon,2675,455.0,Richard Northstar,275,863.0,RGO,408.0,T3,0,0,1,3,-1.72%,1.72%,0,0,5,1,1,SEA,SDP,RGO,RGO,RGO,,,,,1
Tubby Wubby,2853,250.0,Richard Northstar,275,137.0,BB,113.0,T3,1,0,1,3,1.43%,-1.43%,0,0,5,1,1,SEA,SDP,BB,FO,1B,,,,,1
Tubby Wubby,2853,299.0,Richard Northstar,275,767.0,CS,468.0,T3,1,1,1,3,-2.99%,2.99%,0,0,5,1,1,SEA,SDP,CS 2B,CS 2B,CS,,,,,4
Bobert Hideyoshi,2944,666.0,Richard Northstar,275,642.0,HR,24.0,T3,2,0,1,3,9.49%,-9.49%,1,1,5,1,1,SEA,SDP,HR,HR,HR,,,,275.0,1
Bryce Parker,2692,615.0,Richard Northstar,275,918.0,K,303.0,T3,2,0,1,4,-0.88%,0.88%,0,0,5,1,1,SEA,SDP,K,K,K,,,,,1
Scorkle McCorkle,2864,67.0,Gavrilo Principle,2994,621.0,RGO,446.0,B3,0,0,1,4,-2.70%,2.70%,0,0,6,1,1,SDP,SEA,RGO,RGO,RGO,,,,,1
Cam'ron Simmons,525,470.0,Gavrilo Principle,2994,101.0,PO,369.0,B3,1,0,1,4,-2.15%,2.15%,0,0,6,1,1,SDP,SEA,PO,PO,K,,,,,1
Amelia,402,67.0,Gavrilo Principle,2994,670.0,PO,397.0,B3,2,0,1,4,-1.42%,1.42%,0,0,6,1,1,SDP,SEA,PO,PO,PO,,,,,1
Daniel Dove,66,312.0,Erin Theolia,183,830.0,LGO,482.0,T4,0,0,1,4,-0.98%,0.98%,0,0,7,1,1,SEA,SDP,LGO,LGO,LGO,,,,,1
Twatt Barton,2949,853.0,Erin Theolia,183,72.0,FO,219.0,T4,1,0,1,4,-0.83%,0.83%,0,0,7,1,1,SEA,SDP,FO,FO,FO,,,,,1
Speed Shark,3039,111.0,Erin Theolia,183,141.0,2B,30.0,T4,2,0,1,4,1.04%,-1.04%,0,1,7,1,1,SEA,SDP,2B,2B,2B,,,,,1
Dark Brother,3060,185.0,Erin Theolia,183,311.0,1B,126.0,T4,2,2,1,4,5.07%,-5.07%,1,1,7,1,1,SEA,SDP,1B,1B,1B,,183.0,,,1
Buster Worthington,2787,512.0,Erin Theolia,183,561.0,2B,49.0,T4,2,1,1,5,3.50%,-3.50%,1,1,7,1,1,SEA,SDP,2B,2B,2B,,,183.0,,1
