G,IP,BF,H,R,ER,BB,IBB,Auto BB,K,HR,1B,RGO,LGO,FO,PO,LO,ERA,WHIP,H/6,HR/6,BB/6,K/6,K/BB,BAA,OBPA,SLGA,OPSA,BABIP_A,HR%_A,K%_A,BB%_A,GB%_A,FB%_A,GB/FB_A,Avg Diff,RE24,WPA,AB_A,SF_A,SH_A,2B_A,3B_A,GB_outs_A,FB_outs_A,SB_A,CS_A,SB%_A,Type,Season,Pitcher ID,Team,is_sub_row,Last Team,FIP,nIP,ERA-,nRuns,GS,GF,CG,SHO,W,L,SV,HLD,W-L%,WAR
8.0,30.666666666666668,128.0,26.0,17.0,17.0,17.0,0.0,2.0,33.0,4.0,9.0,6.0,10.0,24.0,6.0,0.0,3.326086956521739,1.4021739130434783,5.086956521739131,0.7826086956521738,3.3260869565217392,6.456521739130434,1.9411764705882353,0.23423423423423423,0.3359375,0.4864864864864865,0.8224239864864865,0.2972972972972973,0.03125,0.2578125,0.1328125,0.4230769230769231,0.5769230769230769,0.7333333333333333,259.0952380952381,-1.4562108935724407,0.4203,111.0,0.0,0.0,10.0,3.0,22.0,30.0,2.0,1.0,0.6666666666666666,SF-S,S3,2,ARI,False,ARI,2.339957087255913,30.333333333333332,100,15.662237500871921,6.0,3.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.5986450979895613
10.0,16.666666666666668,65.0,17.0,4.0,4.0,3.0,1.0,0.0,8.0,2.0,7.0,15.0,9.0,6.0,2.0,0.0,1.44,1.2,6.12,0.72,1.08,2.88,2.6666666666666665,0.27419354838709675,0.3076923076923077,0.5483870967741935,0.8560794044665012,0.28846153846153844,0.03076923076923077,0.12307692307692308,0.046153846153846156,0.7837837837837838,0.21621621621621623,3.625,258.968253968254,-4.209377317676743,-0.3188,62.0,0.0,0.0,5.0,3.0,29.0,8.0,0.0,0.0,,EG-B,S3,3,ARI,False,ARI,2.273435348125478,18.666666666666668,64,6.154907281772953,2.0,8.0,0.0,0.0,3.0,2.0,0.0,0.0,0.6,0.6509889861512729
4.0,11.333333333333334,53.0,17.0,8.0,8.0,2.0,0.0,0.0,13.0,2.0,10.0,3.0,4.0,12.0,2.0,0.0,4.235294117647059,1.676470588235294,9.0,1.0588235294117645,1.0588235294117645,6.88235294117647,6.5,0.3333333333333333,0.3584905660377358,0.5686274509803921,0.9271180170181279,0.4166666666666667,0.03773584905660377,0.24528301886792453,0.03773584905660377,0.3333333333333333,0.6666666666666666,0.5,232.92727272727274,3.9230113636363635,-0.8132,51.0,0.0,0.0,4.0,1.0,7.0,14.0,2.0,0.0,1.0,BS-H,S3,4,ARI,False,ARI,1.6628471128313604,12.0,129,8.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,-0.2047208827893175
8.0,26.0,122.0,36.0,20.0,20.0,8.0,1.0,0.0,14.0,3.0,17.0,11.0,11.0,12.0,27.0,0.0,4.615384615384615,1.6923076923076923,8.307692307692307,0.6923076923076923,1.8461538461538463,3.230769230769231,1.75,0.32142857142857145,0.36065573770491804,0.5625,0.923155737704918,0.3402061855670103,0.02459016393442623,0.11475409836065574,0.06557377049180328,0.3709677419354839,0.6290322580645161,0.5897435897435898,247.08064516129033,5.706845978715519,-0.6633,112.0,2.0,0.0,14.0,2.0,23.0,39.0,4.0,1.0,0.8,WC-H,S3,5,ARI,False,ARI,2.4795891942793244,27.0,108,15.0,5.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,0.4,-0.13889608964387445
5.0,15.0,63.0,15.0,7.0,7.0,6.0,0.0,3.0,13.0,5.0,8.0,10.0,7.0,9.0,0.0,0.0,2.8,1.4,6.0,2.0,2.4000000000000004,5.2,2.1666666666666665,0.2631578947368421,0.3333333333333333,0.5614035087719298,0.894736842105263,0.2564102564102564,0.07936507936507936,0.20634920634920634,0.09523809523809523,0.6896551724137931,0.3103448275862069,2.2222222222222223,247.7037037037037,0.26611739872502643,-0.13409999999999994,57.0,0.0,0.0,2.0,0.0,20.0,9.0,0.0,0.0,,BF-B,S3,19,BOS,False,BOS,4.933435348125478,15.666666666666666,90,7.289057095510261,4.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.19636101437621603
8.0,24.0,104.0,28.0,14.0,14.0,8.0,0.0,0.0,16.0,3.0,9.0,7.0,6.0,18.0,17.0,0.0,3.5,1.5,7.0,0.75,2.0,4.0,2.0,0.2916666666666667,0.34615384615384615,0.6145833333333334,0.9607371794871795,0.3246753246753247,0.028846153846153848,0.15384615384615385,0.07692307692307693,0.3269230769230769,0.6730769230769231,0.4857142857142857,246.01904761904763,0.8301955797927953,0.15440000000000018,96.0,0.0,0.0,10.0,6.0,17.0,35.0,1.0,0.0,1.0,NH-S,S3,20,2TM,False,BOS,2.425102014792145,25.333333333333332,101,13.272402634087673,4.0,3.0,1.0,1.0,2.0,4.0,0.0,1.0,0.3333333333333333,0.28506244903447825
2.0,4.666666666666667,23.0,8.0,5.0,5.0,1.0,0.0,0.0,5.0,2.0,1.0,1.0,0.0,1.0,7.0,0.0,6.428571428571428,1.9285714285714284,10.285714285714285,2.571428571428571,1.2857142857142856,6.428571428571429,5.0,0.36363636363636365,0.391304347826087,0.9545454545454546,1.3458498023715415,0.4,0.08695652173913043,0.21739130434782608,0.043478260869565216,0.1111111111111111,0.8888888888888888,0.125,223.625,2.5511362829252793,-0.4991,22.0,0.0,0.0,3.0,2.0,1.0,8.0,1.0,0.0,1.0,NH-S,S3,20,NYM,True,NYM,5.204863919554049,5.0,202,5.2295562100804185,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,-0.17371087674140842
6.0,19.333333333333332,81.0,20.0,9.0,9.0,7.0,0.0,0.0,11.0,1.0,8.0,6.0,6.0,17.0,10.0,0.0,2.793103448275862,1.396551724137931,6.206896551724139,0.31034482758620696,2.1724137931034484,3.413793103448276,1.5714285714285714,0.2702702702702703,0.3333333333333333,0.5135135135135135,0.8468468468468469,0.3064516129032258,0.012345679012345678,0.13580246913580246,0.08641975308641975,0.37209302325581395,0.627906976744186,0.5925925925925926,252.65432098765433,-1.720940703132484,0.6535,74.0,0.0,0.0,7.0,4.0,16.0,27.0,0.0,0.0,,NH-S,S3,20,BOS,True,BOS,1.754125003297892,20.333333333333332,77,8.042846424007255,3.0,3.0,1.0,1.0,2.0,2.0,0.0,1.0,0.5,0.4587733257758867
7.0,27.0,114.0,26.0,14.0,14.0,7.0,0.0,1.0,26.0,2.0,12.0,10.0,13.0,23.0,6.0,0.0,3.111111111111111,1.2222222222222223,5.777777777777778,0.4444444444444444,1.5555555555555554,5.777777777777778,3.7142857142857144,0.24761904761904763,0.2894736842105263,0.4380952380952381,0.7275689223057644,0.3037974683544304,0.017543859649122806,0.22807017543859648,0.06140350877192982,0.4528301886792453,0.5471698113207547,0.8275862068965517,242.15652173913043,-0.4805414876136992,0.11630000000000007,105.0,2.0,0.0,10.0,2.0,24.0,29.0,1.0,1.0,0.5,BF-B,S3,21,BOS,False,BOS,0.9482501629402931,28.0,100,14.45047950210559,4.0,5.0,3.0,1.0,3.0,2.0,0.0,1.0,0.6,0.4515286564495275
6.0,18.0,76.0,17.0,10.0,10.0,11.0,0.0,0.0,10.0,7.0,7.0,9.0,8.0,13.0,3.0,0.0,3.3333333333333335,1.5555555555555556,5.666666666666666,2.3333333333333335,3.666666666666667,3.3333333333333335,0.9090909090909091,0.26153846153846155,0.3684210526315789,0.6615384615384615,1.0299595141700404,0.20833333333333334,0.09210526315789473,0.13157894736842105,0.14473684210526316,0.5789473684210527,0.42105263157894735,1.375,248.98701298701297,-1.6560021144536634,0.2374999999999999,65.0,0.0,0.0,1.0,2.0,22.0,16.0,1.0,1.0,0.5,NT-B,S3,22,BOS,False,BOS,6.911213125903256,17.666666666666668,103,9.413411190632466,3.0,4.0,1.0,1.0,3.0,1.0,0.0,0.0,0.75,0.4345832165708047
